,Zaber_pos,Percen,F_avg,M1,M0,F_avg_noise,M1_noise,M0_noise
0,797900.0,0.0,1093.1404964584187,5.152943993270915e-06,4.713889943667387e-09,1093.1404964584187,-2.036369066344039e-05,-7.479721916162031e-08
1,797900.0,0.0,2054.8957453317225,3.3776683703806817e-06,1.6437176329037675e-09,2054.8957453317225,-2.2138966286330617e-05,-7.786739147238393e-08
2,797900.0,0.0,4819.219717830547,1.709988549414355e-06,3.548268494768143e-10,4819.219717830547,-2.3806646107296956e-05,-7.91562822558109e-08
3,798076.0,0.0,1341.7965607004069,3.843712368564789e-06,2.8646014464058563e-09,1341.7965607004069,-2.1672922288146505e-05,-7.664650765888185e-08
4,798076.0,0.0,2363.260998665858,4.571437448838577e-06,1.9343768849142393e-09,2363.260998665858,-2.0945197207872726e-05,-7.757673222037346e-08
5,798076.0,0.0,2722.825986355812,2.7731744732839953e-06,1.0184912613514348e-09,2722.825986355812,-2.2743460183427306e-05,-7.849261784393627e-08
6,798251.0,0.0,1951.8654586011976,3.783774421279792e-06,1.938542641146706e-09,1951.8654586011976,-2.1732860235431514e-05,-7.757256646414097e-08
7,798251.0,0.0,3084.8895948019217,5.923827493305803e-07,1.920272123607771e-10,3084.8895948019217,-2.4924251907380725e-05,-7.931908189292691e-08
8,798251.0,0.0,2820.2937017878658,1.5478824054944403e-06,5.488373088636807e-10,2820.2937017878658,-2.3968752251216862e-05,-7.896227179642399e-08
9,798426.0,0.0,1085.3593782838695,2.9737529557511877e-06,2.73987862016098e-09,1085.3593782838695,-2.2542881700960122e-05,-7.677123048512675e-08
10,798426.0,0.0,2371.097684571765,1.1086221458151011e-06,4.675565047482745e-10,2371.097684571765,-2.44080125108962e-05,-7.904355260053942e-08
11,798426.0,0.0,1911.0131715936952,1.0081953806882074e-06,5.275711312065001e-10,1911.0131715936952,-2.4508439276023098e-05,-7.898353797408121e-08
12,798601.0,0.0,1225.858730853399,1.531063362871638e-05,1.248972107745047e-08,1225.858730853399,-1.0206001027994925e-05,-6.702138802783723e-08
